transaction_id,date,account_number,account_name,amount,class,location,memo
TXN-1093,2026-01-01,6100,Sales Commissions,6947.16,Sales,San Francisco,Sales commission payout accrual - Debit
TXN-1093,2026-01-01,2120,Accrued Commissions,-6947.16,Sales,San Francisco,Sales commission payout accrual - Credit
TXN-1078,2026-01-07,5010,Third-Party API Costs,2736.04,Engineering,New York,LLM and data API usage fees - Debit
TXN-1078,2026-01-07,2200,Credit Card Payable,-2736.04,Engineering,New York,LLM and data API usage fees - Credit
TXN-1098,2026-01-07,1100,Accounts Receivable,2336.32,Engineering,San Francisco,Monthly API usage billing - Debit
TXN-1098,2026-01-07,4030,Usage-Based Revenue,-2336.32,Engineering,San Francisco,Monthly API usage billing - Credit
TXN-1080,2026-01-10,6400,Travel & Entertainment,1022.81,Admin,New York,Client travel & team offsite flights/hotel - Debit
TXN-1080,2026-01-10,2200,Credit Card Payable,-1022.81,Admin,New York,Client travel & team offsite flights/hotel - Credit
TXN-1087,2026-01-12,6230,Accounting Fees,2006.77,Finance,New York,External audit and tax compliance fees - Debit
TXN-1087,2026-01-12,2000,Accounts Payable,-2006.77,Finance,New York,External audit and tax compliance fees - Credit
TXN-1046,2026-01-14,1000,Operating Checking,2151.64,Admin,Miami,Customer invoice payment received - Debit
TXN-1046,2026-01-14,1100,Accounts Receivable,-2151.64,Admin,Miami,Customer invoice payment received - Credit
TXN-1056,2026-01-15,6000,Salaries & Wages,5881.23,HR,Miami,HR team salary & recruiter placement fee - Debit
TXN-1056,2026-01-15,1000,Operating Checking,-5881.23,HR,Miami,HR team salary & recruiter placement fee - Credit
TXN-1019,2026-01-17,5020,Customer Support,7022.25,HR,Miami,Outsourced 24/7 customer support team invoice - Debit
TXN-1019,2026-01-17,2000,Accounts Payable,-7022.25,HR,Miami,Outsourced 24/7 customer support team invoice - Credit
TXN-1025,2026-01-17,6220,Professional Fees,4171.34,Finance,San Francisco,Legal counsel advisory & contract review - Debit
TXN-1025,2026-01-17,2000,Accounts Payable,-4171.34,Finance,San Francisco,Legal counsel advisory & contract review - Credit
TXN-1064,2026-01-18,5030,Payment Processing Fees,1002.1,Finance,New York,Stripe processing fees auto-deducted - Debit
TXN-1064,2026-01-18,1000,Operating Checking,-1002.1,Finance,New York,Stripe processing fees auto-deducted - Credit
TXN-1041,2026-01-19,1100,Accounts Receivable,2217.06,Sales,New York,Monthly API usage billing - Debit
TXN-1041,2026-01-19,4030,Usage-Based Revenue,-2217.06,Sales,New York,Monthly API usage billing - Credit
TXN-1042,2026-01-19,6000,Salaries & Wages,7618.05,HR,Miami,HR team salary & recruiter placement fee - Debit
TXN-1042,2026-01-19,1000,Operating Checking,-7618.05,HR,Miami,HR team salary & recruiter placement fee - Credit
TXN-1099,2026-01-19,6300,Rent & Office,8266.07,Admin,San Francisco,Monthly office lease payment - Debit
TXN-1099,2026-01-19,1000,Operating Checking,-8266.07,Admin,San Francisco,Monthly office lease payment - Credit
TXN-1073,2026-01-20,5000,Hosting & Cloud Infrastructure,11638.26,Engineering,San Francisco,Monthly cloud hosting & infrastructure invoice - Debit
TXN-1073,2026-01-20,2000,Accounts Payable,-11638.26,Engineering,San Francisco,Monthly cloud hosting & infrastructure invoice - Credit
TXN-1096,2026-01-22,6100,Sales Commissions,10489.51,Sales,Miami,Sales commission payout accrual - Debit
TXN-1096,2026-01-22,2120,Accrued Commissions,-10489.51,Sales,Miami,Sales commission payout accrual - Credit
TXN-1070,2026-01-24,6230,Accounting Fees,5317.39,Finance,Miami,External audit and tax compliance fees - Debit
TXN-1070,2026-01-24,2000,Accounts Payable,-5317.39,Finance,Miami,External audit and tax compliance fees - Credit
TXN-1013,2026-01-26,6220,Professional Fees,3445.82,Finance,Miami,Legal counsel advisory & contract review - Debit
TXN-1013,2026-01-26,2000,Accounts Payable,-3445.82,Finance,Miami,Legal counsel advisory & contract review - Credit
TXN-1050,2026-03-02,5010,Third-Party API Costs,1778.6,Engineering,Miami,LLM and data API usage fees - Debit
